Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Centro,Distrito 3,A303,CERVANTES SAAVEDRA,BLVD MIGUEL DE CERVANTES SAAVEDRA,Granada,Miguel Hidalgo,Ciudad de México,Ciudad de México,11520,18.2,-9.2,30.2,Enero,19.441012869109304,-99.1968752165044
Devlyn,Cerrada,Cerrada,B828,OPTICA VIRTUAL NORTE ZONA2 D2,BLVD MIGUEL DE CERVANTES SAAVEDRA,Granada,Miguel Hidalgo,Ciudad de México,Ciudad de México,11520,,300.0,705.8,Enero,19.441012869109304,-99.1968752165044
Devlyn,Centro,Distrito 3,A730,DEVLYN CHEDRAUI POLANCO,BLVD MIGUEL DE CERVANTES SAAVEDRA,Irrigación,Miguel Hidalgo,Ciudad de México,Ciudad de México,11500,29.2,-1.2,30.7,Enero,19.441314606845022,-99.21050545237344
Devlyn,Noroeste,Distrito 5,A909,PLAZA MANZANILLO,BLVD MIGUEL DE LA MADRID,La Punta,Manzanillo,Colima,Manzanillo,28867,-5.6,-12.5,7.9,Enero,19.060831530539815,-104.29028614451188
Devlyn,Noroeste,Distrito 5,B636,MARINA MANZANILLO,BLVD MIGUEL DE LA MADRID,Villa Coral,Manzanillo,Colima,Manzanillo,28869,-60.0,-58.5,-3.5,Enero,19.0506256,-104.3159957
Devlyn,Centro,Distrito 4,A942,PATIO  TULANCINGO,BLVD MIGUEL HIDALGO,Santa Clara,Tulancingo de Bravo,Hidalgo,Tulancingo,43642,-13.8,-6.5,-7.8,Enero,20.0839585,-98.3635381
Devlyn,Noroeste,Distrito 3,A973,HERMOSILLO BACHOCO,BLVD MORELOS,La Ventana,Hermosillo,Sonora,Hermosillo,83148,10.6,11.2,-0.5,Enero,29.0948207,-110.9692202
Devlyn,Noreste,Distrito 5,A779,GALERIAS SALTILLO,BLVD NAZARIO ORTIZ,Residencial Los Parques,Saltillo,Coahuila de Zaragoza,Saltillo,25279,25.6,9.2,15.0,Enero,25.4230425,-100.9927509
Devlyn,Metropolitana,Distrito 2,B417,TLAXCALA SORIANA,BLVD OCOTLAN,Ocotlán,Tlaxcala,Tlaxcala,Tlaxcala de Xicohténcatl,90100,-9.0,-25.5,22.2,Enero,19.3167101,-98.2386138
Sears,Noroeste,Distrito 1,B315,SEARS RIO TIJUANA,BLVD PASEO DE LOS HEROES,Zona Urbana Río Tijuana,Tijuana,Baja California,Tijuana,22010,30.5,1.7,28.3,Enero,32.5317397,-117.019529
Devlyn,Noroeste,Distrito 1,A716,TIJUANA PLAZA RIO,BLVD PASEO DE LOS HEROES,Zona Urbana Río Tijuana,Tijuana,Baja California,Tijuana,22010,-12.9,-9.6,-3.5,Enero,32.5317397,-117.019529
Devlyn,Noroeste,Distrito 1,A744,TIJUANA PLAZA RIO II,BLVD PASEO DE LOS HEROES,Zona Urbana Río Tijuana,Tijuana,Baja California,Tijuana,22010,7.6,-11.0,21.0,Enero,32.5317397,-117.019529
Devlyn,Noroeste,Distrito 4,B933,CIMACO CULIACAN,BLVD PEDRO INFANTE,Portales Del Country,Culiacán,Sinaloa,Culiacán Rosales,80100,0.4,30.8,-23.3,Enero,24.7978965,-107.393395
Devlyn,Centro,Distrito 4,A707,QUERETARO PLAZA DEL PARQUE,BLVD PROL. CORREGIDORA NTE,Álamos 3a Sección,Querétaro,Querétaro,Santiago de Querétaro,76160,-46.4,-35.0,-17.5,Enero,20.5922997,-100.3917424
Devlyn,Noroeste,Distrito 5,A311,ANDARES GUADALAJARA,BLVD PUERTA DE HIERRO,Puerta de Hierro,Zapopan,Jalisco,Zapopan,45116,-27.9,-44.8,30.7,Enero,20.71123837324243,-103.41698793080897
Devlyn,Noreste,Distrito 2,B432,SORIANA ALTAMIRA,BLVD PUERTO INDUSTRIAL,Altamira Centro,Altamira,Tamaulipas,Altamira,89600,-5.9,14.8,-18.1,Enero,22.5630208,-98.11651838883341
Devlyn,Metropolitana,Distrito 4,A705,GALERIAS CHILPANCINGO,BLVD RENE JUAREZ CISNEROS,Balcones de Tepango,Chilpancingo de los Bravo,Guerrero,Chilpancingo de los Bravo,39095,-8.1,-13.8,6.7,Enero,17.3919748,-99.7428629297313
Devlyn,Noreste,Distrito 3,A982,PLAZA CADEREYTA,BLVD REVOLUCION,Cadereyta Jiménez Centro,Cadereyta Jiménez,Nuevo León,Cadereyta Jiménez,67480,-40.1,-30.8,-13.4,Enero,25.517336999999998,-99.87117351720661
Devlyn,Noroeste,Distrito 4,A960,LOS MOCHIS PLAZA FIESTA,BLVD ROSALES Y ROSENDO G CASTRO,Primer Cuadro (Centro),Ahome,Sinaloa,Los Mochis,81200,-26.1,-16.6,-11.4,Enero,25.7928058,-108.990188
Devlyn,Noroeste,Distrito 3,A871,HERMOSILLO PLAZA DEL SOL,BLVD SOLIDARIDAD,Nueva Palmira Residencial,Hermosillo,Sonora,Hermosillo,83170,46.5,22.7,19.3,Enero,29.0948207,-110.9692202
Devlyn,Noreste,Distrito 2,B838,PLAZA CAMPESTRE CD VICTORIA,BLVD TAMAULIPAS,San Ángel,Victoria,Tamaulipas,Ciudad Victoria,87027,33.2,0.0,33.2,Enero,23.7389846,-99.1441352
Devlyn,Metropolitana,Distrito 5,A310,METEPEC PLAZA GALERIAS,BLVD TOLUCA IXTAPAN NTE,San Miguel,Metepec,Estado de México,Metepec,52140,-27.1,-26.6,-0.6,Enero,19.25113375,-99.5937281303492
Coppel,Centro,Distrito 4,A585,COPPEL HIDALGO (TULA),BLVD TULA ITURBIDE,Centro,Tula de Allende,Hidalgo,Tula de Allende,42800,27.9,25.5,1.9,Enero,20.048948699999997,-99.37295616011426
Sears,Centro,Distrito 6,B283,LEON SEARS PLAZA MAYOR,BLVD VALLE DEL CAMPESTRE,Valle del Campestre,León,Guanajuato,León de los Aldama,37150,11.6,10.5,0.9,Enero,21.121965,-101.6829766
Sears,Noreste,Distrito 1,B306,SEARS ALTARIA,BLVD ZACATECAS,Trojes de Alonso,Aguascalientes,Aguascalientes,Aguascalientes,20116,10.2,13.2,-2.6,Enero,21.880487,-102.2967195
Devlyn,Sur,Distrito 1,A778,GALERIAS MERIDA,CALLE 3,Revolución (Cordemex),Mérida,Yucatán,Mérida,97110,-3.4,-11.8,9.5,Enero,20.9670759,-89.6237402
Devlyn,Sur,Distrito 1,A318,ALTA BRISA MALL MERIDA,CALLE 7,Altabrisa,Mérida,Yucatán,Mérida,97130,9.5,16.2,-5.8,Enero,20.9670759,-89.6237402
Sears,Sur,Distrito 1,B310,SEARS ALTABRISA,CALLE 7,Vista Alegre Norte,Mérida,Yucatán,Mérida,97130,-3.3,-32.2,42.6,Enero,20.9670759,-89.6237402
Coppel,Sur,Distrito 1,B656,COPPEL HENEQUEN YUCATAN,CALLE 18,Centro Umán,Umán,Yucatán,Umán,97390,-0.4,11.6,-10.8,Enero,20.8471315,-89.76791377224616
Devlyn,Sur,Distrito 1,A736,MERIDA PLAZA LAS AMERICAS,CALLE 21,Hacienda Inn,Mérida,Yucatán,Mérida,97229,-15.6,-6.0,-10.2,Enero,20.9670759,-89.6237402
Sears,Sur,Distrito 1,B930,SEARS MERIDA,CALLE 21,Miguel Hidalgo,Mérida,Yucatán,Mérida,97220,-16.1,-17.0,1.1,Enero,20.9670759,-89.6237402
Coppel,Sur,Distrito 1,B723,COPPEL TICUL,CALLE 21,Ticul Centro,Ticul,Yucatán,Ticul,97860,10.7,-2.2,13.2,Enero,20.36438225,-89.5543068153996
Devlyn,Sur,Distrito 1,A320,CHAPUR GRAN MERIDA,CALLE 31,Privada Nuevo México,Mérida,Yucatán,Mérida,97125,10.1,-5.1,16.0,Enero,20.9670759,-89.6237402
Coppel,Sur,Distrito 1,A574,COPPEL MONTE DE PIEDAD (MERDA),CALLE 58,Jardines de San Sebastian,Mérida,Yucatán,Mérida,97000,-22.1,-21.0,-1.4,Enero,20.9670759,-89.6237402
Devlyn,Sur,Distrito 1,A921,MERIDA CENTRO,CALLE 58,Jardines de San Sebastian,Mérida,Yucatán,Mérida,97000,-24.6,11.3,-32.3,Enero,20.9670759,-89.6237402
Sears,Sur,Distrito 1,B276,SEARS MERIDA GRAN PLAZA,CALLE 60,Plan de Ayala,Mérida,Yucatán,Mérida,97118,-14.0,16.9,-26.4,Enero,20.9670759,-89.6237402
Devlyn,Sur,Distrito 1,A321,CHAPUR II GRAN MERIDA II,CALLE 63 X 45 Y 46,Jardines de San Sebastian,Mérida,Yucatán,Mérida,97000,-3.4,-15.5,14.3,Enero,20.9670759,-89.6237402
Devlyn,Noroeste,Distrito 1,B862,PLAZA SAN PEDRO MEXICALI,CALZ CETYS,Rivera,Mexicali,Baja California,Mexicali,21259,0.7,20.9,-16.6,Enero,32.6405247,-115.474899
Sears,Metropolitana,Distrito 3,B275,COAPA SEARS,CANAL DE MIRAMONTES,Residencial Miramontes,Tlalpan,Ciudad de México,Ciudad de México,14300,-33.9,-34.7,1.3,Enero,19.30357650031654,-99.12454343752572
Devlyn,Metropolitana,Distrito 3,A305,GALERIAS COAPA,CANAL DE MIRAMONTES,Residencial Miramontes,Tlalpan,Ciudad de México,Ciudad de México,14300,-8.3,-19.2,13.5,Enero,19.30357650031654,-99.12454343752572
Devlyn,Metropolitana,Distrito 2,A832,GRAN PATIO TLAXCALA,CARR APIZACO - PUEBLA,Jesús,Apetatitlán de Antonio Carvajal,Tlaxcala,Apetatitlán de Antonio Carvajal,90610,-14.6,-13.4,-1.4,Enero,19.3505173,-98.19120205454091
Devlyn,Noreste,Distrito 3,A024,ESFERA MONTERREY,CARR CARRETERA NACIONAL,Cerradas De Valle Alto Residencial,Monterrey,Nuevo León,Monterrey,64984,54.4,20.6,28.0,Enero,25.6802019,-100.315258
Devlyn,Centro,Distrito 4,A313,ANTEA LIFESTYLE QUERETARO,CARR CARRETERA QUERÉTARO - SAN LUIS POTOSÍ,Palmares,Querétaro,Querétaro,Santiago de Querétaro,76127,-1.3,-8.1,7.4,Enero,20.5922997,-100.3917424
Coppel,Noreste,Distrito 1,A601,COPPEL LOS PINOS (S.L.P),CARR CARRETERA SAN LUIS - RIOVERDE,Jardines del Valle,Soledad de Graciano Sánchez,San Luis Potosí,Soledad de Graciano Sánchez,78437,8.7,0.0,8.7,Enero,22.297055450000002,-100.86719560926427
