Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Noroeste,Distrito 2,B046,SENDERO CD JUAREZ,AV MANUEL GOMEZ MORIN,Residencial San Francisco,Juárez,Chihuahua,Juárez,32548,4.7,-8.1,14.0,Febrero,31.7372575,-106.485655
Devlyn,Noreste,Distrito 3,A907,AMPL PLAZA FIESTA  ANAHUAC,AV MANUEL L BARRAGAN,Anáhuac,San Nicolás de los Garza,Nuevo León,San Nicolás de los Garza,66450,-12.6,-19.9,9.2,Febrero,25.746047134015935,-100.31111777069309
Sears,Noreste,Distrito 3,B279,MTY. SEARS ANAHUAC,AV MANUEL L. BARRAGAN,Residencial Anáhuac,San Nicolás de los Garza,Nuevo León,San Nicolás de los Garza,66457,28.2,-9.1,41.0,Febrero,25.746047134015935,-100.31111777069309
Devlyn,Noroeste,Distrito 5,A772,FORUM TLAQUEPAQUE,AV MARCELINO GARCIA BARAGAN,Prados Del Nilo,Guadalajara,Jalisco,Guadalajara,44840,-28.6,1.7,-29.8,Febrero,20.6720375,-103.338396
Devlyn,Noroeste,Distrito 5,B711,DEVLYN SORIANA (COLIMA),AV MARIA AHUMADA DE GOMEZ,Campestre,Villa de Álvarez,Colima,Ciudad de Villa de Álvarez,28988,-23.0,-15.2,-9.2,Febrero,19.27894585,-103.75973739570863
Devlyn,Sur,Distrito 6,A794,VERACRUZ ARISTA CENTRO,AV MARIANO ARISTA,Veracruz Centro,Veracruz,Veracruz de Ignacio de la Llave,Veracruz,91700,18.2,8.8,8.6,Febrero,19.19470138325197,-96.14247340091259
Devlyn,Noroeste,Distrito 5,B884,LA PERLA GUADALAJARA,AV MARIANO OTERO,Ciudad Del Sol,Zapopan,Jalisco,Zapopan,45050,-11.4,-8.5,-3.2,Febrero,20.64567389602485,-103.40775836598866
Devlyn,Noroeste,Distrito 3,A992,HERMOSILLO CENTRO,AV MATAMOROS,Hermosillo Centro,Hermosillo,Sonora,Hermosillo,83000,-18.5,-43.6,44.5,Febrero,29.0948207,-110.9692202
Devlyn,Noreste,Distrito 3,A029,PASEO LA FE,AV MIGUEL ALEMAN,Residencial los Morales,San Nicolás de los Garza,Nuevo León,San Nicolás de los Garza,66470,4.9,-17.9,27.8,Febrero,25.7558021,-100.289648
Devlyn,Noreste,Distrito 3,A904,MULTIPLAZA LINDAVISTA,AV MIGUEL ALEMAN,Valle Soleado,Guadalupe,Nuevo León,Guadalupe,67130,5.7,-12.3,20.5,Febrero,25.6751114,-100.2151753
Devlyn,Sur,Distrito 6,A507,DEVLYN MEGA LAS PALMAS (VERUCRUZ),AV MIGUEL ANGEL DE QUEVEDO,Cristóbal Colón,Veracruz,Veracruz de Ignacio de la Llave,Veracruz,91755,-21.7,-21.9,0.3,Febrero,19.19620401003394,-96.1557522620068
Devlyn,Metropolitana,Distrito 3,A844,MEGA COYOACAN,AV MIGUEL ANGEL DE QUEVEDO,Romero de Terreros,Coyoacán,Ciudad de México,Ciudad de México,04310,-7.5,-4.3,-3.4,Febrero,19.345893242723132,-99.17373706803178
Devlyn,Metropolitana,Distrito 3,A108,OASIS COYOACAN,AV MIGUEL ANGEL DE QUEVEDO,Romero de Terreros,Coyoacán,Ciudad de México,Ciudad de México,04310,8.2,8.1,0.1,Febrero,19.345893242723132,-99.17373706803178
Devlyn,Metropolitana,Distrito 2,A852,AV. HIDALGO CENTRO (OAXACA),AV MIGUEL HIDALGO,Oaxaca Centro,Oaxaca de Juárez,Oaxaca,Oaxaca de Juárez,68000,3.3,1.1,2.2,Febrero,17.096586799999997,-96.72078156904958
Coppel,Metropolitana,Distrito 5,A652,COPPEL TENANGO DEL VALLE,AV MIGUEL HIDALGO,Tenango De Arista Centro,Tenango Del Valle,Estado de México,Sin Ciudad,52300,-0.5,-32.4,47.3,Febrero,,
Devlyn,Noreste,Distrito 2,B421,AMPLIACION SORIANA CD MADERO,AV MONTERREY,Ampliación Unidad Nacional,Ciudad Madero,Tamaulipas,Ciudad Madero,89510,0.3,-7.8,8.8,Febrero,22.278368,-97.82428606900629
Devlyn,Centro,Distrito 3,A710,PLAZA LINDAVISTA,AV MONTEVIDEO,Lindavista Norte,Gustavo A. Madero,Ciudad de México,Ciudad de México,07300,-20.4,-14.6,-6.8,Febrero,19.4326296,-99.1331785
Devlyn,Noreste,Distrito 5,A990,GOMEZ PALACIO CENTRO,AV MORELOS,Gómez Palacio Centro,Gómez Palacio,Durango,Gómez Palacio,35000,-38.2,1.1,-38.9,Febrero,25.560207093516784,-103.49490932468146
Devlyn,Noreste,Distrito 5,A958,TORREON CENTRO,AV MORELOS,Torreón Centro,Torreón,Coahuila de Zaragoza,Torreón,27000,22.4,-1.6,24.4,Febrero,25.53834990393425,-103.46551150710769
Coppel,Noreste,Distrito 1,A696,COPPEL PLAZA MUÑOZ,AV MUÑOZ,Muñoz,San Luis Potosí,San Luis Potosí,San Luis Potosí,78165,68.3,57.1,7.1,Febrero,22.1518358,-100.9992903
Devlyn,Noreste,Distrito 1,A968,CHEDRAUI (S.L.P),AV NEREO RODRIGUEZ BARRAGAN,Del Valle,San Luis Potosí,San Luis Potosí,San Luis Potosí,78200,34.0,31.3,2.0,Febrero,22.153463600000002,-101.00731935
Devlyn,Noreste,Distrito 1,A743,EL DORADO (S.L.P),AV NEREO RODRIGUEZ BARRAGAN,Del Valle,San Luis Potosí,San Luis Potosí,San Luis Potosí,78200,19.4,17.1,1.9,Febrero,22.153463600000002,-101.00731935
Devlyn,Centro,Distrito 1,B471,WALMART AZCAPOTZALCO,AV NEXTENGO,Santa Cruz Acayucan,Azcapotzalco,Ciudad de México,Ciudad de México,02770,-34.7,-1.6,-33.7,Febrero,19.4779572,-99.1884851
Coppel,Metropolitana,Distrito 1,A580,COPPEL GUADALUPES (CHIMALHUACAN),AV NEZAHUALCOYOTL,Unión Antorchista,Chimalhuacán,Estado de México,Chimalhuacán,56335,-3.1,5.4,-8.0,Febrero,19.41775105,-98.95751685948807
Devlyn,Sur,Distrito 2,A758,GRAN PLAZA CANCUN,AV NICHUPTE,Supermanzana 51,Benito Juárez,Quintana Roo,Cancún,77533,-34.4,-25.3,-12.2,Febrero,21.1398036,-86.854019
Coppel,Sur,Distrito 2,A640,COPPEL NICHUPTE,AV NICHUPTE,Supermanzana 510,Benito Juárez,Quintana Roo,Cancún,77534,-14.2,0.0,-14.2,Febrero,21.1527467,-86.8425761
Devlyn,Sur,Distrito 2,B029,CANCUN PLAZA LAS AMERICAS II,AV NIÑOS HEROES,Supermanzana 225,Benito Juárez,Quintana Roo,Cancún,77516,-24.1,-20.6,-4.4,Febrero,21.1527467,-86.8425761
Coppel,Noroeste,Distrito 1,A513,COPPEL OBREGON II SN LUIS COLORADO,AV OBREGON,Cuauhtémoc,San Luis Río Colorado,Sonora,San Luis Río Colorado,83400,-51.3,-65.8,42.3,Febrero,32.4822164,-114.7816893
Coppel,Noroeste,Distrito 3,A524,COPPEL GUADALUPE VICTORIA NOGALES,AV OBREGÓN,Heroica Nogales Centro,Nogales,Sonora,Heroica Nogales,84000,-7.2,21.6,-23.7,Febrero,31.3285057,-110.9450472
Devlyn,Sur,Distrito 6,A923,ORIZABA CENTRO,AV ORIENTE 4 LOCAL 3,Orizaba Centro,Orizaba,Veracruz de Ignacio de la Llave,Orizaba,94300,-20.5,-8.2,-13.4,Febrero,18.847142919891063,-97.1034395207446
Devlyn,Centro,Distrito 3,A791,PLAZA TORRES LINDAVISTA,AV OTHON DE MENDIZABAL,Nueva Industrial Vallejo,Gustavo A. Madero,Ciudad de México,Ciudad de México,07700,-0.8,-11.7,12.4,Febrero,19.505890696290695,-99.14947226913829
Devlyn,Noreste,Distrito 3,A979,MTY. PADRE MIER,AV PADRE MIER,Monterrey Centro,Monterrey,Nuevo León,Monterrey,64000,-5.3,-15.0,11.4,Febrero,25.67042616217705,-100.32667198312349
Sears,Noreste,Distrito 3,B264,MTY. SEARS CENTRO,AV PADRE MIER,Monterrey Centro,Monterrey,Nuevo León,Monterrey,64000,-1.9,1.2,-3.1,Febrero,25.67042616217705,-100.32667198312349
Devlyn,Noroeste,Distrito 4,B882,WALMART GUASAVE,AV PASEO MIGUEL LEYSON PEREZ,Ejidal,Guasave,Sinaloa,Guasave,81020,35.2,25.9,7.3,Febrero,25.5046381,-108.539960314508
Devlyn,Noroeste,Distrito 5,B869,PUNTO SUR GDL,AV PASEO PUNTO SUR,Punto Sur,Tlajomulco de Zúñiga,Jalisco,Tlajomulco de Zúñiga,45645,-12.7,-2.6,-10.3,Febrero,20.48187375,-103.40050966382874
